ArtistKey,Name,Gender,BirthDate,Nationality,Description,ActiveStart,ActiveEnd,Type,GeoKey
6856a998-de4d-4469-ad72-a56c2334d283,99 posse,M,,,gruppo musicale italiano,1991-10-09,,Group,7e71a0d8-c6e9-4f43-bd99-747e17b997da
a06013b5-1a04-4d96-8e9b-3cdc3e700b5e,achille lauro,M,1990-07-11,Italia,cantautore e rapper italiano (1990-),2012-01-01,,Person,245200dd-bebb-48d2-9a79-05a3002d46be
c3b079b6-faa0-4fae-85fd-2c91edf9fc89,alfa,M,,,,,,Person,fd6d02ba-0702-4be5-9730-25e985b39474
71836cc8-d2da-46df-826e-3b66a9943f97,anna pepe,F,2003-08-15,,,,,Person,222d6e45-0c9f-4008-8c09-2f9d30ec30b5
53f55f51-7b39-4b1e-8ab3-d2b05807d997,articolo 31,M,,,gruppo musicale hip hop italiano,1990,,Group,a7432a2e-e21f-4a1a-9157-a63fc04deef7
1215f4fd-baee-46b1-a75c-49ef78360aa8,babaman,M,1975-08-08,Italia,cantante italiano,,,Person,09ecd094-1112-43fe-b772-ccee47f8aa06
24ba892d-9eaf-44d4-bb2f-a5e335c37d0c,baby k,F,1983-02-05,Italia,cantautrice e rapper italiana (1983-),2007-01-01,,Person,b4ee4b10-60f0-4bb6-800d-9e136a356acd
09acd7bb-444b-4480-8981-cacffbe352a5,bassi maestro,M,1973-08-03,Italia,"rapper, disc jockey, beatmaker e produttore discografico italiano",1988-01-01,,Person,a7432a2e-e21f-4a1a-9157-a63fc04deef7
fd60771d-a3fe-41de-8868-9f491df03e3a,beba,F,,,cognome,,,,dc8731b0-7453-45de-917f-abca5e150432
901b7989-bafe-44cf-a3d9-2ca00a122742,bigmama,F,2000-03-10,,,2001-01-01,,Person,755c8c27-4ce7-4f8e-bdb5-a8460a0df1c3
1f819835-52ea-4f5f-b0bc-58b93a010a10,brusco,M,1974-01-04,,cognome,,,Person,a23c1c45-ffe7-4a9b-b8d7-fe350a6277ad
1177b0f3-6b2d-403d-8cfe-20b6e4010785,bushwaka,M,,,,,,Group,dc8731b0-7453-45de-917f-abca5e150432
da977dca-2855-4ca7-85c5-21ee8f742d98,caneda,M,1976-09-30,,cognome,,,Person,a7432a2e-e21f-4a1a-9157-a63fc04deef7
1d1a2a30-d33c-4ca1-8687-0338932550f8,caparezza,M,1973-10-09,Italia,"rapper, cantautore e produttore discografico italiano (1973-)",1996-01-01,,Person,e10d78dd-8417-4919-89a4-586b15bf4d4e
b6ec1cf8-8982-4977-858f-5c65a66367da,capo plaza,M,1998,Italia,rapper italiano (1998-),,,Person,63d1cf8c-840b-4dee-a3ec-e0f19fd9416c
11237d2b-1a7a-4e59-ad3d-6dec9aeea688,chadia rodriguez,F,1998-11-06,Italia,rapper italiana (1998-),,,Person,3c34e5ee-1d5a-4800-8574-f3fa197e407e
b5ffe68d-6aeb-4208-9780-7c2dbbc2ee40,clementino,M,1982-12-21,Italia,rapper e attore italiano (1982-),,,Person,755c8c27-4ce7-4f8e-bdb5-a8460a0df1c3
87d6b8a6-2498-47b4-bd6a-8a715d86e007,club dogo,M,,,gruppo musicale italiano,,,Group,a7432a2e-e21f-4a1a-9157-a63fc04deef7
46674531-5e0a-498d-9bca-64b84e340a7c,coez,M,1983-07-11,Italia,cantautore e rapper italiano (1983-),2002-01-01,,Person,b82ec771-558b-46c0-bd6b-5a612b98a1b9
d06863f0-f59f-4aa4-8eb9-12ac06396767,colle der fomento,M,,,gruppo musicale italiano,1994,,Group,fd6d02ba-0702-4be5-9730-25e985b39474
8885e3ce-c2f1-4215-a033-f80728e6b4b6,cor veleno,M,,,gruppo musicale italiano,1997,,Group,fd6d02ba-0702-4be5-9730-25e985b39474
e2296532-8d01-4486-81f9-645392d3fa55,dani faiv,M,1993-11-05,Italia,rapper italiano (1993-),,,Person,222d6e45-0c9f-4008-8c09-2f9d30ec30b5
f506d640-0efa-4088-8254-ef63d13b76c0,dargen d_amico,M,1980-11-29,,,,,Person,a7432a2e-e21f-4a1a-9157-a63fc04deef7
43bf5356-1c81-479e-9bd8-e7ec6d7aa38e,dark polo gang,M,,,gruppo musicale italiano,2014,,Group,fd6d02ba-0702-4be5-9730-25e985b39474
e1c7cfe1-e499-4aa0-bbd7-4b0ee4b0f0c0,doll kill,F,1996,,,,,Person,fd6d02ba-0702-4be5-9730-25e985b39474
09425b51-1a39-4c3b-ab1b-c420e473bd3a,don joe,M,1975-05-14,Italia,"disc jockey, produttore discografico e rapper italiano (1975-)",,,Person,a7432a2e-e21f-4a1a-9157-a63fc04deef7
1d739a60-74f9-4047-9e3b-11786391851a,drefgold,M,1997-05-16,Italia,rapper italiano (1997-),,,Person,b06a6812-9a11-4538-ae47-d17b322e9eb1
87684473-407b-46b2-8af9-8f0e77ae10c3,emis killa,M,1989-11-14,Italia,rapper italiano (1989-),2006-01-01,,Person,17e41d24-13d0-4243-9f5b-2b208ab04521
c3575b15-fab0-406e-82a5-bf33564c1017,ensi,M,1985-12-13,Italia,rapper italiano (1985-),2002-01-01,,Person,cc5f38b8-a520-4e1f-a2e4-134cc0d6b58a
d9f024e8-39c8-47ab-8c75-ffa6d64098fa,entics,M,1985-03-16,Italia,cantante italiano,,,Person,a7432a2e-e21f-4a1a-9157-a63fc04deef7
c3ae5d76-ee6c-4736-becf-8e3f073348aa,ernia,M,1993-11-29,Italia,rapper italiano (1993-),2011-01-01,,Person,a7432a2e-e21f-4a1a-9157-a63fc04deef7
21f6d37e-4042-4b30-a6ce-294b1d5fb126,eva rea,F,,,,,,,dc8731b0-7453-45de-917f-abca5e150432
608f44e2-2a6f-4693-9863-402da660e825,fabri fibra,M,1976-10-17,Italia,rapper italiano (1976-),1996-01-01,,Person,bb9cc35b-40f7-4b88-8354-3e7eda407cab
a1c2114e-29e3-44e9-ba60-e15d9beb0444,fedez,M,1989-10-15,Italia,"rapper, personaggio televisivo e imprenditore italiano (1989-)",2006-01-01,,Person,a7432a2e-e21f-4a1a-9157-a63fc04deef7
25601941-c8b2-49c1-a9a2-05145d2b9f17,frah quintale,M,1989,Italia,cantautore e rapper italiano (1989-),2006-01-01,,Person,5707f2ef-727f-4076-a79b-bb8a763448b7
12cec980-aebf-44f9-9304-4bf017de271d,frankie hi-nrg mc,M,1969-07-18,Italia,rapper e cantautore italiano (1969-),1991-01-01,,Person,9c085d41-fc91-4d78-abfd-d8216daf9f80
