DateKey,Year,Month,Day,Season
1bcfb68b-317f-42c6-84d2-bb0931405dfe,2021,4,2,Spring
f06fa6c7-a57d-41d8-bcbf-0bab0fcec9ff,2020,3,6,Winter
1bf9b344-5fd5-4037-978e-7616a5a2a182,2021,2,19,Winter
720e78ff-c4ab-4f42-b640-fc725ef999e9,2019,3,8,Winter
4ae638d3-77fc-4cb1-9e2f-66ff270ed6a8,2020,5,29,Spring
6c5fc8f2-6ca9-4852-9643-1a8360755468,2020,5,21,Spring
1b819011-2845-4c30-89d7-1b055c2f423d,2020,4,17,Spring
2e62f983-ec82-45a5-8a13-d55da30e037b,2023,2,8,Winter
b9a33273-128a-4ebd-a078-6358b62af253,2022,6,3,Spring
44a067c8-c6b6-4396-9575-d469070a8762,2019,6,7,Spring
851e359b-1650-4ab6-b139-d43b243afe73,2019,2,7,Winter
ca4c126f-5031-49d2-b03d-a798e3fae9ed,2019,4,16,Spring
6e9a1f2d-3222-4732-91ea-d5c81aec51e4,2020,3,13,Winter
bbe6dbfe-393f-400b-affc-99fed2e38350,2019,9,20,Summer
b4296af4-2d1b-44ae-83f7-7eec020ce169,2019,1,14,Winter
f16ba17f-8279-4cfa-829b-cd46c7e7ce9c,2025,5,16,Spring
ecb02306-744e-4f79-a011-bcc063cdf569,2018,6,15,Spring
7acf1217-e6e2-48a6-8fc1-1a08d0235d47,2019,7,10,Summer
dc128261-b1e5-433e-9e26-2ef388ee3e23,2020,1,17,Winter
cc47fe5d-7b56-4b4e-9a06-cfdf08631eaf,2020,1,1,Winter
5ad55467-6f9d-4c2e-8d68-5ec55a01b2c8,2023,5,19,Spring
8cdc0094-55e2-4b92-aecb-bc329daedc21,2019,12,30,Winter
0d1013a1-e35c-435d-a377-4d7b17d5405a,2024,6,21,Summer
1a2cb0a0-c329-42d4-afef-122c3504edc0,2020,12,25,Winter
4d2af1fc-ebd2-4260-befb-63fd0f992f29,2022,11,4,Unknown
2e4f3b83-93d2-4d1b-8f40-b51c5124d630,2019,8,13,Summer
18262c06-52d4-4731-80a4-a02698103626,2020,4,7,Spring
25621108-5e8b-4b11-abb5-d20c78579b7f,2024,3,1,Winter
46de4cd8-fc71-4134-bb2c-373536953953,2018,12,20,Autumn
5fa7eeab-70ca-47ab-81ce-ad4c04b0d8f5,2018,12,5,Autumn
cf8edcde-1287-4f1e-bafb-ea96aa61a657,2018,11,12,Unknown
3d02361f-d44f-4cc4-b621-79bd3e3820d0,2020,1,24,Winter
3b9cdce9-5852-4885-af0d-7fab5232d6b6,2020,6,10,Spring
39b73adb-3833-4324-91dc-1af2b9478f0d,2015,11,17,Unknown
d7ba7b97-7f1d-45b6-8586-f94e4d461d89,2015,9,7,Summer
7c81660e-2f2e-45d5-8974-6bfc2d512017,2025,5,2,Spring
43e50bfa-59d2-4e04-97a1-b3a306c18b13,2015,11,26,Unknown
d7afecf0-53d2-42c0-a3e8-1a0233d6fddb,2015,11,22,Unknown
2fb6842f-1ff4-4b4e-8c62-b0fa2951c30d,2015,11,2,Unknown
e4cc1890-6ecc-4ac1-97ef-e5d555631103,2016,1,27,Winter
