SymphonyKey,BPM,Rolloff,Flux,RMS,Flatness,SpectralComplexity,Pitch,Loudness
SYN_7c5f4ffd-21ab-474d-a816-19b14cf611ff,135.32,2895.7767,1.4499,0.1786,0.8202,25.7148,2311.1779,17.8675
SYN_964d6cda-2a5b-48e0-9612-581ad9ad91a6,129.37,3378.4605,1.3533,0.202,0.6739,29.1089,1892.1924,21.4595
SYN_e46abcce-c8b7-4684-a37b-1be7ccf6141c,133.68,2037.4847,1.3822,0.2552,0.7842,26.9762,2484.3503,29.459
SYN_11ecf6f8-3844-48de-97b9-a2203adde864,162.22,1156.3781,1.5499,0.1971,0.8764,14.2956,2984.6109,20.5067
SYN_6b2f0808-ad98-41b0-9700-d3a2b2713fad,105.87,1693.4542,1.0886,0.2369,0.8571,36.6951,1572.0499,25.3407
SYN_3fbb87b8-0a71-40af-98d7-dce3985a6aaf,92.02,1158.8606,1.0737,0.2334,0.8943,23.0539,1943.181,25.268
SYN_44f2751c-d41e-416b-aca8-0ccc93246e65,129.82,1787.9302,1.2172,0.2632,0.8592,29.9563,2111.893,29.2586
SYN_61ad0ab4-3296-42f0-937e-79db0d92caed,129.95,2331.3437,1.3638,0.2576,0.8193,36.5045,2137.0455,28.7634
SYN_9552179e-aee6-40b9-bd90-a37a0bb47de4,124.14,2456.785,1.2137,0.2573,0.8385,40.9769,1861.3738,28.079
SYN_d0822be4-ff48-4457-a82a-a312955484ca,154.92,1660.9177,1.091,0.2157,0.8995,30.1906,1757.9368,22.5514
SYN_8313c59a-d100-4092-97ef-9e15b609da78,123.68,1268.2502,1.1937,0.2342,0.8793,26.471,2394.9852,25.6333
SYN_641ec4df-d9a2-4025-972c-2c0ce4e8ff3d,99.87,2557.5925,1.2525,0.2336,0.7574,33.8207,1726.0318,25.7406
SYN_01aa4690-7fcc-4256-896b-29c524650773,125.06,1755.2472,1.41,0.2754,0.8123,26.8521,2877.0575,32.8955
SYN_40492f33-9520-4e66-90ec-6ee27f582449,126.07,2501.5662,1.2107,0.1927,0.7858,29.5363,1794.6078,20.1684
SYN_2b6cec29-0a94-4228-b4e2-f753496f023a,121.11,2726.6877,1.1177,0.1818,0.8561,31.6904,1784.9531,18.3843
SYN_0d9e6bca-d10f-4b52-be02-3c6d6ac0ca2c,96.27,2984.9233,1.375,0.2683,0.7965,39.8208,2487.1039,30.4793
SYN_cdbbd2a8-9116-4195-b777-50174aa0671a,143.68,1335.3432,1.0967,0.2855,0.8625,32.319,2192.7517,32.4186
SYN_e7554fdb-a9ef-4461-8210-e630ce47e4eb,100.01,1110.6811,0.962,0.2047,0.9122,22.6653,1951.1632,21.8971
SYN_d22ac9af-de2a-4d99-bca8-382d31ffffe4,132.95,2461.8619,1.2095,0.2259,0.8656,29.4608,1806.492,24.2865
SYN_4d2eef74-e4ce-4c85-8ea4-768cb69d23be,162.03,2313.321,1.2829,0.2214,0.8627,28.0539,1858.481,22.7645
SYN_11d6024e-6baa-4336-ab4e-bb4b43257e2c,99.96,1595.4223,1.315,0.2208,0.9078,26.4883,2404.7399,23.247
SYN_08aac32b-1bf5-4aaf-9e0a-256c902cd555,129.97,2905.4055,1.4345,0.1902,0.7664,20.2638,2393.9827,20.3012
SYN_c3094505-49c4-48cd-98bc-c6a2991a0660,164.08,1573.9462,1.3346,0.3519,0.6427,31.873,1327.9784,43.8683
SYN_198896b4-15a4-4c48-a46f-15934d56b4fe,132.01,3034.3304,1.3105,0.1101,0.7277,13.9209,2366.3715,9.9063
SYN_fac5c766-24f4-4b38-8408-f601a971d744,120.03,2366.2406,1.4543,0.2451,0.8423,28.2409,1938.3149,26.4812
SYN_85894495-d204-4927-af31-b0f22f4e5db1,111.82,3795.6828,1.2148,0.1681,0.6155,21.0232,2379.3629,18.9285
SYN_5984c428-9835-4cf8-a6e2-141af05a8b94,83.98,1050.6276,1.3011,0.1774,0.7384,9.6972,3290.7641,19.0712
SYN_b040d1a0-26db-4a5b-b9ac-d08f0b6784e1,162.94,1869.8051,1.3421,0.2003,0.7949,22.8578,2209.678,21.2403
SYN_44505062-0f52-4122-b175-f605111f44e8,125.03,1934.5935,1.4139,0.2055,0.7728,13.0344,3779.4293,22.3514
SYN_e4f16a92-0141-4202-81d1-d5522d7d203b,129.9,818.8553,1.1656,0.1881,0.9207,20.9247,2602.8205,19.4275
SYN_d305146a-4d9b-4f84-b1f4-403606cafde6,89.99,1212.2858,1.3092,0.1752,0.773,12.1333,2773.7418,19.0531
SYN_e38b87a3-987e-4458-93c1-525de3da024f,120.13,3582.4288,1.2478,0.2094,0.8214,33.7949,1824.7316,22.7303
SYN_3ae6672e-d566-4ca2-8f13-e8e5c68020b4,162.73,1107.2605,1.2771,0.2024,0.9019,21.8408,2699.4368,21.4811
SYN_e8782ba0-29bb-4015-af77-f26a77e6b3d0,111.66,2195.196,1.1163,0.2994,0.7075,44.7233,2081.2349,35.0766
SYN_b890516f-1ac0-42a8-8998-fbb229b35504,128.13,2249.6672,1.2816,0.1782,0.8036,18.4892,2329.5916,18.6314
SYN_d6ad3e8a-f4ea-4afe-92da-ffb3909dfc81,110.53,1040.0353,1.4597,0.2067,0.9101,16.396,3128.3278,21.9519
SYN_54b7e7e3-8066-43d9-b0b4-0bed38c3e75c,139.97,3116.7849,1.2563,0.2229,0.8499,30.8548,1684.8277,22.9262
SYN_cdbf6bd3-cc46-4606-9174-dd040e79bb89,130.27,1808.7049,1.3226,0.2484,0.8827,30.3263,2135.9642,26.9355
SYN_cc791677-faa8-4e57-91f1-1ffc9d9efbe4,139.97,827.0196,1.0763,0.1394,0.9329,15.3637,2553.9273,12.5703
SYN_6bb6d28c-e1ed-4993-a410-2afd507438ea,80.0,1782.1832,1.2365,0.2323,0.8827,25.0827,2353.2912,26.1656
SYN_d29e220b-0c59-45e8-a52d-41eeb30e9d95,153.3,2669.8838,1.2984,0.3032,0.8241,37.8022,2296.2452,36.6221
SYN_121647b3-b1b4-46ec-9ab5-38102c75834a,129.72,2515.3547,1.3069,0.2731,0.7743,37.2041,2255.9006,30.6359
SYN_6746e412-ec48-45c1-b4b0-e3fe2e75012f,84.9,1547.7531,1.2125,0.1773,0.8228,24.6032,1849.5998,17.7461
SYN_42660603-9834-4435-94ff-92f8eca620ba,117.14,1884.9794,1.1337,0.2034,0.8773,34.0868,1930.2272,21.2632
SYN_3f6e1d5a-e56c-4e2a-a44b-b7dd690a1149,153.01,1737.7581,1.2441,0.3138,0.906,43.8565,2215.4506,36.5028
