SongID_Original,ArtistID_Original
TR934808,ART04205421
TR934808,ART76284946
TR760029,ART04205421
TR916821,ART04205421
TR916821,ART61734477
TR480968,ART04205421
TR585039,ART04205421
TR585039,ART89596800
TR550335,ART04205421
TR170793,ART04205421
TR627195,ART04205421
TR627195,ART46851094
TR628871,ART04205421
TR700756,ART04205421
TR570242,ART04205421
TR483404,ART04205421
TR497808,ART04205421
TR355495,ART04205421
TR736423,ART04205421
TR718221,ART04205421
TR181361,ART04205421
TR950471,ART04205421
TR562453,ART04205421
TR851752,ART04205421
TR387150,ART04205421
TR968851,ART04205421
TR634516,ART04205421
TR292151,ART04205421
TR709513,ART04205421
TR804827,ART04205421
TR889630,ART04205421
TR701720,ART04205421
TR933222,ART04205421
TR242610,ART04205421
TR383343,ART04205421
TR127960,ART04205421
TR792261,ART04205421
TR692137,ART04205421
TR344681,ART04205421
TR945862,ART04205421
TR266736,ART04205421
TR972244,ART04205421
TR998208,ART04205421
TR628388,ART04205421
TR885356,ART04205421
TR614930,ART04205421
TR227001,ART04205421
TR715264,ART04205421
TR281299,ART04205421
TR219098,ART04205421
TR553749,ART04205421
TR573924,ART04205421
TR225367,ART04205421
TR618229,ART04205421
TR792145,ART04205421
TR578432,ART04205421
TR353097,ART04205421
TR904495,ART04205421
TR990916,ART04205421
TR600518,ART04205421
TR127605,ART04205421
TR292829,ART04205421
TR440692,ART04205421
TR141416,ART04205421
TR697931,ART04205421
TR406572,ART04205421
TR738305,ART04205421
TR842844,ART04205421
TR828673,ART04205421
TR568257,ART04205421
TR264304,ART04205421
TR928912,ART04205421
TR418448,ART04205421
TR756639,ART04205421
TR639324,ART19605256
TR990354,ART19605256
TR301160,ART19605256
TR301160,ART39344115
TR957619,ART19605256
TR334229,ART19605256
TR610853,ART19605256
TR418321,ART19605256
TR598542,ART19605256
TR604553,ART19605256
TR402240,ART19605256
TR762108,ART19605256
TR513758,ART19605256
TR694274,ART19605256
TR740353,ART19605256
TR158456,ART19605256
TR414877,ART19605256
TR716390,ART19605256
TR175544,ART19605256
TR410236,ART19605256
TR393223,ART19605256
TR953299,ART19605256
TR932620,ART19605256
TR109484,ART19605256
TR206218,ART19605256
TR499439,ART19605256
TR499439,ART57587384
TR931906,ART19605256
TR247496,ART19605256
TR332893,ART19605256
TR412109,ART19605256
TR862027,ART19605256
TR978323,ART19605256
TR986603,ART19605256
TR981336,ART19605256
TR882413,ART19605256
TR865293,ART19605256
TR161081,ART19605256
TR849919,ART19605256
TR248283,ART19605256
TR583467,ART19605256
TR880811,ART19605256
TR760728,ART19605256
TR818256,ART19605256
TR753802,ART19605256
TR700625,ART19605256
TR572871,ART19605256
TR968680,ART19605256
TR968680,ART98118784
TR649979,ART19605256
TR165253,ART19605256
TR292193,ART19605256
TR473749,ART19605256
TR976686,ART19605256
TR714214,ART19605256
TR559676,ART19605256
TR475374,ART19605256
TR435397,ART19605256
TR710367,ART18853907
TR808461,ART18853907
TR262231,ART18853907
TR829366,ART18853907
TR281032,ART18853907
TR133325,ART18853907
TR503086,ART18853907
TR620919,ART18853907
TR676249,ART18853907
TR221376,ART18853907
TR919426,ART18853907
TR662919,ART18853907
TR206262,ART18853907
TR705644,ART18853907
TR705644,ART04205421
TR150283,ART18853907
TR436647,ART18853907
TR230274,ART18853907
TR219425,ART18853907
TR696636,ART18853907
TR745117,ART18853907
TR366281,ART18853907
TR135965,ART18853907
TR597783,ART18853907
TR658447,ART18853907
TR964144,ART18853907
TR985469,ART18853907
TR571032,ART18853907
TR571032,ART04205421
TR116485,ART18853907
TR273220,ART18853907
TR649186,ART18853907
TR922267,ART18853907
TR594999,ART18853907
TR615864,ART18853907
TR405125,ART18853907
TR531651,ART18853907
TR724566,ART18853907
TR178424,ART18853907
TR403917,ART18853907
TR362368,ART18853907
TR378408,ART18853907
TR557926,ART18853907
TR738175,ART18853907
TR628261,ART18853907
TR338658,ART18853907
TR810734,ART18853907
TR152109,ART18853907
TR453559,ART18853907
TR128271,ART18853907
TR439223,ART18853907
TR723224,ART18853907
TR708813,ART18853907
TR611871,ART18853907
TR805380,ART18853907
TR417231,ART18853907
TR621300,ART18853907
TR940611,ART18853907
TR191602,ART18853907
TR305190,ART18853907
TR386205,ART18853907
TR467224,ART18853907
TR791800,ART18853907
TR289284,ART18853907
TR679064,ART18853907
TR839898,ART18853907
TR711443,ART18853907
TR435903,ART18853907
TR950311,ART18853907
TR747206,ART18853907
TR454956,ART18853907
TR369830,ART18853907
TR494201,ART18853907
TR968269,ART18853907
TR450760,ART18853907
TR420842,ART88026810
TR898853,ART88026810
TR450958,ART88026810
