ArtistID_Original,ArtistName,Gender,BirthDate,BirthPlace,Nationality,Description,ActiveStartDate,ActiveEndDate,Type,ArtistGeoKey
ART82291002,99 posse,M,,Napoli,,gruppo musicale italiano,1991-10-09,,Group,1
ART53496045,achille lauro,M,1990-07-11,Verona,Italia,cantautore e rapper italiano (1990-),2012-01-01,,Person,2
ART18853907,alfa,M,,,,,,,Person,3
ART64265460,anna pepe,F,2003-08-15,La Spezia,,,,,Person,4
ART75741740,articolo 31,M,,Milano,,gruppo musicale hip hop italiano,1990,,Group,5
ART24123617,babaman,M,1975-08-08,Rho,Italia,cantante italiano,,,Person,5
ART40229749,baby k,F,1983-02-05,Singapore,Italia,cantautrice e rapper italiana (1983-),2007-01-01,,Person,6
ART56320683,bassi maestro,M,1973-08-03,Milano,Italia,"rapper, disc jockey, beatmaker e produttore discografico italiano",1988-01-01,,Person,5
ART19605256,beba,F,,,,cognome,,,,7
ART02666525,bigmama,F,2000-03-10,Avellino,,,2001-01-01,,Person,8
ART03111237,brusco,M,1974-01-04,Roma,,cognome,,,Person,9
ART95365016,bushwaka,M,,,,,,,Group,7
ART28846313,caneda,M,1976-09-30,Milano,,cognome,,,Person,5
ART27304446,caparezza,M,1973-10-09,Molfetta,Italia,"rapper, cantautore e produttore discografico italiano (1973-)",1996-01-01,,Person,10
ART70825116,capo plaza,M,1998,Salerno,Italia,rapper italiano (1998-),,,Person,11
ART67409252,chadia rodriguez,F,1998-11-06,Almería,Italia,rapper italiana (1998-),,,Person,12
ART71969350,clementino,M,1982-12-21,Avellino,Italia,rapper e attore italiano (1982-),,,Person,8
ART81071062,club dogo,M,,Milano,,gruppo musicale italiano,,,Group,5
ART78209349,coez,M,1983-07-11,Nocera Inferiore,Italia,cantautore e rapper italiano (1983-),2002-01-01,,Person,11
ART85821920,colle der fomento,M,,,,gruppo musicale italiano,1994,,Group,3
ART59609037,cor veleno,M,,,,gruppo musicale italiano,1997,,Group,3
ART46851094,dani faiv,M,1993-11-05,La Spezia,Italia,rapper italiano (1993-),,,Person,4
ART63985757,dargen d_amico,M,1980-11-29,Milano,,,,,Person,5
ART96068455,dark polo gang,M,,,,gruppo musicale italiano,2014,,Group,3
ART52349448,doll kill,F,1996,,,,,,Person,3
ART14383873,don joe,M,1975-05-14,Milano,Italia,"disc jockey, produttore discografico e rapper italiano (1975-)",,,Person,5
ART09119396,drefgold,M,1997-05-16,Racale,Italia,rapper italiano (1997-),,,Person,13
ART86549066,emis killa,M,1989-11-14,Vimercate,Italia,rapper italiano (1989-),2006-01-01,,Person,14
ART57616402,ensi,M,1985-12-13,Alpignano,Italia,rapper italiano (1985-),2002-01-01,,Person,15
ART19729064,entics,M,1985-03-16,Milano,Italia,cantante italiano,,,Person,5
ART76284946,ernia,M,1993-11-29,Milano,Italia,rapper italiano (1993-),2011-01-01,,Person,5
ART14073567,eva rea,F,,,,,,,,7
ART25707984,fabri fibra,M,1976-10-17,Senigallia,Italia,rapper italiano (1976-),1996-01-01,,Person,16
ART07024718,fedez,M,1989-10-15,Milano,Italia,"rapper, personaggio televisivo e imprenditore italiano (1989-)",2006-01-01,,Person,5
ART46711784,frah quintale,M,1989,Brescia,Italia,cantautore e rapper italiano (1989-),2006-01-01,,Person,17
ART31005348,frankie hi-nrg mc,M,1969-07-18,Torino,Italia,rapper e cantautore italiano (1969-),1991-01-01,,Person,15
ART52465778,fred de palma,M,1989-11-03,Torino,Italia,cantautore e rapper italiano (1989-),,,Person,15
ART85046033,gemitaiz,M,1988-11-04,Roma,Italia,rapper e produttore discografico italiano (1988),2003-01-01,,Person,9
ART87162895,geolier,M,2000-03-23,Napoli,Italia,rapper italiano (2000-),,,Person,1
ART83125571,ghali,M,1993-05-21,Milano,Italia,rapper e cantautore italo-tunisino (1993-),2011-01-01,,Person,5
ART73965015,ghemon,M,1982-04-01,Avellino,Italia,"rapper, cantante e stand up comedian italiano",1996-01-01,,Person,8
ART79325822,grido,M,1979-03-30,Milano,Italia,rapper e cantautore italiano (1979),1996-01-01,,Person,5
ART04141409,guè pequeno,M,1980-12-25,Milano,,,,,Person,5
ART91515842,hell raton,M,1990,Sardegna,Italia,rapper e produttore discografico italiano (1990-),,,Person,18
ART59593021,hindaco,F,,,,,,,,7
ART08177154,il tre,M,1997-09-03,Roma,Italia,rapper e cantautore italiano (1997-),2015-01-01,,Person,9
ART57730937,inoki,M,1979-10-02,Roma,Italia,rapper e produttore discografico italiano (1979),1996-01-01,,Person,19
ART17812958,j-ax,M,1972-08-05,Milano,Italia,"rapper, cantautore e produttore discografico italiano (1972-)",1990-01-01,,Person,5
ART80977821,jack the smoker,M,1982-12-20,Milano,Italia,rapper e produttore discografico italiano (1982-),,,Person,5
ART88792008,jake la furia,M,1979-02-25,Milano,Italia,rapper italiano (1979-),1999-01-01,,Person,5
ART88199433,joey funboy,F,,,,,,,,7
ART07469279,johnny marsiglia,M,,Palermo,,,,,Person,20
ART88423027,la pina,F,1970-06-20,Firenze,Italia,"rapper, conduttrice radiofonica e televisiva italiana (1970-)",,,Person,21
ART39344115,lazza,M,1994-08-22,Scampia,Italia,"rapper, musicista e produttore discografico italiano (1994-)",2012-01-01,,Person,22
