BirthCity,BirthRegion,BirthCountry,Latitude,Longitude
Napoli,Campania,Italia,40.8358846,14.2487679
Verona,Veneto,Italia,45.4424977,10.9857377
,,Italia,42.6384261,12.6742970
La Spezia,Liguria,Italia,44.2383660,9.6912326
Milano,Lombardia,Italia,45.4641943,9.1896346
,,Singapore,1.3571070,103.8194992
,,,,
Avellino,Campania,Italia,40.9965446,15.1405690
Roma Capitale,Lazio,Italia,41.8933203,12.4829321
Bari,Puglia,Italia,41.1992456,16.5968279
Salerno,Campania,Italia,40.4194417,15.3106085
Genova,Andalucía,España,36.8414197,-2.4628135
Lecce,Puglia,Italia,39.9631190,18.0938260
Monza e della Brianza,Lombardia,Italia,45.6139627,9.3700600
Torino,Piemonte,Italia,45.0957237,7.5254027
Ancona,Marche,Italia,43.7149517,13.2179488
Brescia,Lombardia,Italia,42.6384261,12.6742970
Gallura,Sardigna/Sardegna,Italia,40.0912813,9.0305773
Roma,Lazio,Italia,42.6384261,12.6742970
Palermo,Sicilia,Italia,38.1112268,13.3524434
Firenze,Toscana,Italia,42.6384261,12.6742970
Napoli,Campania,United States,39.7837304,-100.4458820
Vicenza,Veneto,Italia,45.6348591,11.4063543
Taranto,Puglia,Italia,40.5361927,17.4342206
Δήμος Λευκωσίας,Κύπρος,Κύπρος - Kıbrıs,35.1746503,33.3638783
Varese,Lombardia,Italia,45.6598951,8.7932013
Treviso,Veneto,Italia,42.6384261,12.6742970
Ascoli Piceno,Marche,Italia,42.6384261,12.6742970
Ancona,,Italia,42.6384261,12.6742970
Agglomération de Montréal,Québec,Canada,45.5031824,-73.5698065
Lodi,Lombardia,Italia,45.2613104,9.4916781
Gallura Nord-Est Sardegna,Sardigna/Sardegna,Italia,40.9232659,9.5027442
,Ciudad Autónoma de Buenos Aires,Argentina,-34.6095579,-58.3887904
Gallura,Sardegna,Italia,42.6384261,12.6742970
Genova,Liguria,Italia,44.3893419,8.6428599
Padova,Veneto,Italia,45.3914080,11.8058487
Reggio Calabria,Calabria,Italia,42.6384261,12.6742970
Cagliari,Sardegna,Italia,42.6384261,12.6742970
Santo Domingo de Guzmán,Distrito Nacional,República Dominicana,18.4713858,-69.8918436
