SongID_Original,SongTitle,DiscNumber,TrackNumber,DurationMS,Popularity,AlbumID_Original
11367dfb-1d08-4414-8aad-6c8a26c6bd4b,​polka 2 :-/,1.0,3,207761,46.0,3dd46f40-cec3-4457-bd9f-c6639cc19e8b
0eea0981-3c44-4ca6-85fc-8b9ac7ecd58e,POLKA,1.0,3,207761,46.0,
8333ceb1-14bd-46d4-8728-51e300863ca8,​britney ;-),1.0,1,193544,39.0,
2185bdaf-338a-4620-b258-03466031e149,CEO,1.0,2,169000,47.0,c7d72638-21ce-4b53-af00-e2b86db26aad
1a8cc8e2-ac02-4ba9-bb26-4ddf6d700e55,LONDRA,1.0,8,194779,41.0,5ef855af-21a4-4033-b591-a24eb6e53d27
43bef1a9-07f0-489c-9b5b-7e6d03edf7f6,BOHEME,1.0,11,200329,29.0,
6e1ba791-8268-470a-8e4c-b3eab971afa4,LOBBY WAY,1.0,3,171230,23.0,
47a3f110-eded-4228-a46b-2585b2015ef9,SLATT,1.0,6,168513,24.0,
5485de5c-623d-44c2-9a68-a3063a49f5ce,MADE IN ITALY,1.0,1,178080,50.0,2456866d-89e8-4059-b641-0ad90a63af2a
43e57157-eff2-42cc-9120-2bcba903c1aa,ROSE & ROVI,1.0,1,188534,27.0,
18944190-7249-4031-9628-528357d5c20e,POLKA 3,1.0,1,160645,40.0,89329ba0-f3aa-4137-9157-66b0f078da3a
6834e8e7-3c3b-4fd7-81af-6d5366070f6e,COSANOSTRA,1.0,2,136737,25.0,
43062d4a-3b31-41a7-991b-9d9f2c34b30e,NUOVI GAY,1.0,9,210369,21.0,
32de92db-dd5e-4806-8c84-c111dcf1372d,OCCHIO E CROCE,1.0,4,134437,23.0,
6e2886ab-3692-4b41-8aaa-60ec4e3e2fca,​life :-(,1.0,4,129560,26.0,
ed350760-c5a0-446a-9039-693a91aeae19,RAF SIMONS,1.0,7,61922,21.0,
10792ba0-05a0-46c5-9a50-deb3121e6409,SLIME,1.0,10,159809,22.0,
f7c60440-b565-4fa7-a1cc-bdb54f492ba2,TU MI FAI,1.0,12,167729,23.0,
003d7a36-dec3-4f87-8cd5-b98423e05186,PARADISO,1.0,13,140210,21.0,
d740aebe-8421-44b9-a3c7-9aabe0d40cd3,​no love :-),1.0,2,190500,23.0,
854ca6d4-94c2-45a5-b57c-ee8816cdca0b,​fantasmi ;-(,1.0,5,206550,25.0,
720f724b-d4d7-470f-b475-ae26ee481866,Facciamolo,1.0,1,141706,21.0,1eb43555-1584-4a64-9070-a65dae058dfc
0223d06a-b1fa-4717-8384-0a4244e539ac,Freestyle #redbullnext #essemagazine,1.0,2,169000,47.0,
658c5916-15ba-441c-b9c3-460ef2f68f4c,Scolapasta,1.0,10,138560,48.0,2edc0eb1-9dfa-44be-a40f-953a2c60e5af
bf009f84-0767-46a1-a30b-4b918f8d06dc,#IORESTOACASA Freestyle,1.0,10,138560,48.0,
fb58b4cb-4447-4feb-aef7-75a029022a3c,Fatass,1.0,1,152343,11.0,962e963c-9033-40ca-abe3-0635e5cfaea6
88e427d8-6755-41e9-8642-87f6e8bee855,Ok ok pih roh toh toh !,1.0,5,111541,17.0,d3586b1b-9541-403a-9884-c6992435639f
c2ab9f1b-79d1-4843-be50-0c804783e569,Exodia / 1tot,1.0,4,156933,19.0,
31ccd80b-c1c6-44ad-a72b-9435bbaa493d,Ramoscelli,1.0,1,96595,17.0,
6de6f0b5-7aff-4c2d-b381-c970ecf2f71f,Sono Io !!,1.0,3,144000,19.0,
92ef74a5-56d4-470c-beca-d7591d514435,Rovesciata,1.0,2,101333,18.0,
bba4c63d-01e6-4ca9-be2f-72bd496a9b9d,ceo 2,1.0,2,169000,47.0,
6cc791fe-e43e-48d2-b97f-33b6215bc618,Lil Peep,1.0,5,97593,21.0,60c618d7-208a-4327-9092-89e2b1fd3f21
d62c1f73-9b59-4afb-96db-9a20fb1563b3,ABC,1.0,10,138560,48.0,
adafac6f-074f-4c1e-b002-d4150e385c68,ALIENO,1.0,1,111966,10.0,4aea4419-5e1b-4d9e-be2b-22ff00c68072
ecc1addf-952d-43d9-9a7b-f45a0fa9e296,Teschio,1.0,7,179277,14.0,
b053925d-d93c-4126-8d67-71ff830bd79a,Mattonelle*,1.0,10,138560,48.0,
5ee59a02-f8bc-42fb-bfba-f494eec5b0b7,BELLU GUAGLIONE,1.0,1,174545,41.0,67addcab-a7d3-4ec7-8b84-48e3e7c0e978
2cabd46f-8ac6-42c8-a119-51aded9d53a6,Acqua Panna,1.0,5,155178,0.0,33569bf1-2652-436b-9bcf-dd0dae62a52e
71cae07a-bf2e-4c5b-8c5e-c20753001fc4,AIDS FREESTYLE,1.0,10,138560,48.0,
7a07c241-650a-463f-875f-57ffb6280059,0.25X,1.0,1,107532,41.0,
b06b3a1a-219c-4540-bbd4-68519bf7b483,3SOME,1.0,1,122076,31.0,309b0608-ac07-44bd-b7c8-fa6b3a191fdf
5d2302db-74c2-483c-b23b-cc978dbcedc9,A te e famiglia Freestyle,1.0,7,169263,70.0,fa0a368e-741d-40a0-97a1-d6b002fc4e54
904bb63f-5848-421e-a6d2-c18e8cd96d60,​non è normale,1.0,1,188761,27.0,dcc263ec-5b29-459e-a582-633c94ffe938
05bb0cd8-64b9-4eac-9e12-1581de096bba,TECKTONiiK,1.0,3,181960,44.0,
8bca1ae1-08d9-466e-997c-79bc42940d74,Rosa Chemical,1.0,1,149196,51.0,3d14d605-8f91-4194-a813-bceae9f47e06
5ec5452c-7131-4cce-ba05-1e4d02fc5041,bRAtZz,1.0,4,187397,37.0,
1474754d-3eaf-43d2-b309-2fb32f27196f,Akureyri RMX,1.0,10,138560,48.0,
c1889802-f604-44c3-a73c-ff409e687b86,TIPO DI N,1.0,6,169000,36.0,
2eff944b-0cb1-477b-8684-a09581b653ea,#ERAMEGLIOSEINGOIAVA Freestyle,1.0,10,138560,48.0,
e6401dd6-4651-47ed-b7db-324485f24d5a,Blackout,1.0,1,157941,21.0,06f8b0f4-549d-4b75-a8c1-7931beab1645
d48bc8b4-5292-44ca-ac28-73e1efb9e9dc,X&V,1.0,5,143389,34.0,
fd8a8dfc-d134-42ba-b953-cc788252daa7,PANTONE 17-3930,1.0,3,162406,47.0,d35e9e34-3c1c-4ac9-a5d2-e3c2f865b98c
27fe14d9-7be9-44dc-b003-599c7d68ebec,Dovreicomprarmiunacollanacomeimigos,1.0,10,138560,48.0,
e615a575-9197-4b20-b776-19933dfb49c0,Kournikova,1.0,1,99692,6.0,7a137fc2-78f0-47e3-91ae-594058d76ecc
d1ade178-477c-481e-9c7e-64b459e55c89,BRITISH PROV 2014,1.0,2,170760,38.0,e7498041-aac2-4e83-8cd4-5ce0483065f8
2789de44-9d1f-458a-a443-c6e909552ffd,Dissing Eminem,1.0,10,138560,48.0,
97156cb7-156c-4c98-b17c-a450c9e29ae0,I’m dead,1.0,1,255518,44.0,986fc1af-03a4-4364-8f52-60ab149824bb
98bd6c43-4626-4451-9276-58fdf895ab9d,LATTE +,1.0,10,138560,48.0,
38087a9b-5d43-47c6-802c-9997ed5cc419,I need some sleep (Intro),1.0,9,1304000,5.0,d0ad505c-bd6f-4c5c-ab9e-3f38de96c548
5624b5dc-cdbd-4905-ba31-2bc9b3295729,esse Type beat,1.0,2,139888,61.0,47b0310e-eda4-4cd4-ac6f-bd0af5f444a4
5d4090da-8304-4d3b-9f49-03eace8795fe,Punk ’a Piana,1.0,6,168513,24.0,
0d91e8d1-be18-4938-b613-5a16d878163a,Ritratti dell’odio,1.0,10,138560,48.0,
b31958a9-987b-40e3-a6e4-2fa69ccf9c52,Keep on driving,1.0,8,336960,34.0,48b45559-1420-4cd7-a36c-322e971cc492
3bd980b1-0d2b-4961-a3cf-c0901d4d8c22,Alone rhapsody,1.0,10,138560,48.0,
5000fd95-9196-4fae-a0bc-6bc8102224eb,C. A. S.,1.0,2,170760,38.0,
b87433d5-e7f4-45f7-a0e7-4a323ecb0e79,One Take FM Free Mic,1.0,10,212573,2.0,e8671ff0-dcc9-4764-8726-5c34ee69f553
eb981f6d-3136-41e9-8d73-4cc7fe2778e2,Nel male,1.0,1,198949,23.0,d4f87aba-5fdc-40b6-b6fa-5c6cf3fe4b6b
acee5d6e-2a07-4998-9c56-3a8283d3cbbf,Luciano Pavarotty // Glock,1.0,4,186000,40.0,df3cfef2-3f00-45df-a9a0-c0893877dfac
9b88a5f7-2bba-4cb9-bc2c-c84008ca3f0e,RASTAFARI_freestyle,1.0,1,149196,51.0,
c421cb07-91aa-4562-801f-1f60760ef409,Groupie,1.0,1,161357,36.0,63dff550-8726-4cd5-b165-68d35241a485
5c240015-2cc3-4a6f-a48e-0ed12b5096fe,PLAIN JANE Freestyle,1.0,7,263013,58.0,d480e3cf-93df-4ac7-a395-47ca7ac4e5c3
86418b67-c540-4189-993d-c94c358c78ab,Male o Bene,1.0,1,175047,33.0,3bcacb71-c825-4b0a-886f-a318bf240b89
c858e367-6049-48a4-92c0-19135fc67693,WIMBLEDON (64 Bars),1.0,7,185777,37.0,720a81fa-b5f0-4788-b934-370aa83222da
464f60c8-0e6d-4ddf-8835-408e70d4e8d6,Grizzly,1.0,1,128390,22.0,d603ce1a-65c5-4c2a-beb0-c6077a1d2873
a61cc46d-0614-4357-a7a3-cf51fa4af878,Morosita,1.0,1,161250,30.0,9f1b360d-5e8e-42fe-85e8-bc89636b33bf
b1377fbb-aab4-40f0-9b98-24b09bf2dac3,3ND,1.0,1,134482,25.0,2d411cd9-d7ef-4872-ac3e-485fb437bc8e
62c70b07-f05d-4c39-aed7-cf10585b4a2a,Chiara,1.0,6,188017,37.0,99b971c2-7cf3-4e2c-82da-52eed26486ca
57efc190-4a3d-4a9e-92c8-f70536f62e05,Vaniglia,1.0,1,136585,19.0,2b9375ba-be9f-4b58-9271-c39e6cdbe776
