SongID_Original,BPM,Rolloff,Flux,RMS,Flatness,SpectralComplexity,Pitch,Loudness
11367dfb-1d08-4414-8aad-6c8a26c6bd4b,135.32,2895.7767,1.4499,0.1786,0.8202,25.7148,2311.1779,17.8675
0eea0981-3c44-4ca6-85fc-8b9ac7ecd58e,129.37,3378.4605,1.3533,0.202,0.6739,29.1089,1892.1924,21.4595
8333ceb1-14bd-46d4-8728-51e300863ca8,133.68,2037.4847,1.3822,0.2552,0.7842,26.9762,2484.3503,29.459
2185bdaf-338a-4620-b258-03466031e149,162.22,1156.3781,1.5499,0.1971,0.8764,14.2956,2984.6109,20.5067
1a8cc8e2-ac02-4ba9-bb26-4ddf6d700e55,105.87,1693.4542,1.0886,0.2369,0.8571,36.6951,1572.0499,25.3407
43bef1a9-07f0-489c-9b5b-7e6d03edf7f6,92.02,1158.8606,1.0737,0.2334,0.8943,23.0539,1943.181,25.268
6e1ba791-8268-470a-8e4c-b3eab971afa4,129.82,1787.9302,1.2172,0.2632,0.8592,29.9563,2111.893,29.2586
47a3f110-eded-4228-a46b-2585b2015ef9,129.95,2331.3437,1.3638,0.2576,0.8193,36.5045,2137.0455,28.7634
5485de5c-623d-44c2-9a68-a3063a49f5ce,124.14,2456.785,1.2137,0.2573,0.8385,40.9769,1861.3738,28.079
43e57157-eff2-42cc-9120-2bcba903c1aa,154.92,1660.9177,1.091,0.2157,0.8995,30.1906,1757.9368,22.5514
18944190-7249-4031-9628-528357d5c20e,123.68,1268.2502,1.1937,0.2342,0.8793,26.471,2394.9852,25.6333
6834e8e7-3c3b-4fd7-81af-6d5366070f6e,99.87,2557.5925,1.2525,0.2336,0.7574,33.8207,1726.0318,25.7406
43062d4a-3b31-41a7-991b-9d9f2c34b30e,125.06,1755.2472,1.41,0.2754,0.8123,26.8521,2877.0575,32.8955
32de92db-dd5e-4806-8c84-c111dcf1372d,126.07,2501.5662,1.2107,0.1927,0.7858,29.5363,1794.6078,20.1684
6e2886ab-3692-4b41-8aaa-60ec4e3e2fca,121.11,2726.6877,1.1177,0.1818,0.8561,31.6904,1784.9531,18.3843
ed350760-c5a0-446a-9039-693a91aeae19,96.27,2984.9233,1.375,0.2683,0.7965,39.8208,2487.1039,30.4793
10792ba0-05a0-46c5-9a50-deb3121e6409,143.68,1335.3432,1.0967,0.2855,0.8625,32.319,2192.7517,32.4186
f7c60440-b565-4fa7-a1cc-bdb54f492ba2,100.01,1110.6811,0.962,0.2047,0.9122,22.6653,1951.1632,21.8971
003d7a36-dec3-4f87-8cd5-b98423e05186,132.95,2461.8619,1.2095,0.2259,0.8656,29.4608,1806.492,24.2865
d740aebe-8421-44b9-a3c7-9aabe0d40cd3,162.03,2313.321,1.2829,0.2214,0.8627,28.0539,1858.481,22.7645
854ca6d4-94c2-45a5-b57c-ee8816cdca0b,99.96,1595.4223,1.315,0.2208,0.9078,26.4883,2404.7399,23.247
720f724b-d4d7-470f-b475-ae26ee481866,129.97,2905.4055,1.4345,0.1902,0.7664,20.2638,2393.9827,20.3012
0223d06a-b1fa-4717-8384-0a4244e539ac,164.08,1573.9462,1.3346,0.3519,0.6427,31.873,1327.9784,43.8683
